av_depth,max_depth,min_depth,num_acl,num_rel_cl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_poss,num_prep,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,pos_sim_all,lemma_sim_all,lemma_sim_nei,density,ls,corrected_vs,lfp_1000,lfp_2000,lfp_uwl,lfp_rest,ndw,corrected_ttr,lv,corrected_vv,vvii,nv,adjv,advv,modv,der_level3,der_level4,der_level5,der_level6,mci,freq_finite_forms,freq_aux,num_inf,num_gerunds,num_pres_sing,num_pres_plur,num_past_part,num_past_simple,num_linkings,num_4grams,num_func_ngrams,num_shell_noun,num_misspelled_tokens,million_mistake,class,sum_punct
3.56,6,2,2,0,1,18,244,4.39,13.56,9,8,1,6,21,10,33,1,0,10.53,10.43,13.14,13.76,0.38,0.1,0.0,0.37,0.14,0.08,0.41,93,4.21,0.38,1.75,0.08,0.07,0.2,0.03,0.23,0.07,0.0,0.07,0.0,3.0,0.5,0.62,1,0,4,0,2,0,5,1,0,0,2,0,6,0
5.43,10,4,1,3,1,7,175,6.29,25.0,18,13,5,5,12,6,9,1,1,20.83,22.06,27.61,26.0,0.42,0.19,0.2,0.72,0.11,0.03,0.14,84,4.49,0.48,2.25,0.15,0.14,0.11,0.08,0.19,0.06,0.11,0.03,0.08,4.25,0.67,0.83,2,1,5,0,1,4,6,1,0,0,3,0,6,0
3.81,6,0,5,0,13,16,292,4.56,18.25,21,11,10,9,6,13,15,0,6,15.07,15.01,19.91,19.4,0.46,0.08,0.35,0.76,0.1,0.03,0.11,130,5.38,0.45,3.65,0.23,0.13,0.11,0.09,0.2,0.02,0.08,0.05,0.02,2.0,0.06,0.56,22,11,5,0,2,9,13,5,2,1,1,0,6,1
4.33,7,2,3,3,6,12,221,6.67,18.42,24,15,9,2,8,11,15,1,4,15.36,16.31,22.29,21.0,0.46,0.2,0.69,0.66,0.05,0.05,0.24,132,6.28,0.6,3.61,0.25,0.19,0.18,0.04,0.22,0.06,0.03,0.05,0.06,6.5,0.38,0.62,12,2,5,0,3,2,16,9,3,0,4,0,6,2
4.25,5,3,2,3,0,8,160,7.12,20.0,11,8,3,1,14,3,12,3,0,16.43,15.12,20.01,21.29,0.44,0.17,0.39,0.64,0.12,0.08,0.17,82,4.58,0.51,1.96,0.14,0.14,0.13,0.11,0.24,0.03,0.18,0.0,0.03,5.0,0.46,0.38,2,1,11,0,4,0,8,0,0,2,3,0,6,1
3.89,5,2,0,0,1,9,212,6.78,23.56,19,18,1,3,11,12,12,0,0,19.88,19.93,24.51,25.38,0.42,0.1,0.19,0.62,0.09,0.02,0.27,98,4.76,0.46,1.89,0.11,0.1,0.12,0.16,0.28,0.0,0.19,0.0,0.11,3.0,0.5,0.93,5,1,9,0,2,5,4,3,1,0,4,0,6,1
3.91,6,2,5,1,1,11,196,5.64,17.82,18,15,3,3,13,12,8,3,0,13.2,15.03,19.75,17.9,0.45,0.12,0.31,0.69,0.12,0.04,0.14,90,4.55,0.46,2.31,0.17,0.13,0.11,0.11,0.23,0.0,0.09,0.07,0.02,3.0,0.19,0.76,10,3,2,0,5,1,6,8,2,0,0,0,6,1
3.88,6,1,3,2,3,16,273,3.38,17.06,21,19,2,4,16,15,18,0,0,15.33,14.55,18.6,19.4,0.43,0.14,0.75,0.69,0.09,0.01,0.21,128,5.48,0.47,2.41,0.14,0.15,0.15,0.14,0.28,0.04,0.07,0.12,0.02,4.5,0.5,0.5,5,2,8,0,4,0,13,7,3,3,5,0,6,2
5.17,10,0,3,6,9,18,389,5.33,21.61,38,23,15,17,21,17,33,3,1,17.65,19.61,25.89,23.18,0.46,0.11,0.11,0.71,0.09,0.03,0.17,189,6.78,0.49,3.67,0.18,0.15,0.16,0.08,0.25,0.04,0.04,0.06,0.06,1.5,0.21,0.84,25,0,14,0,7,2,30,7,2,0,2,0,6,0
5.12,8,3,0,2,7,16,408,5.44,25.5,36,24,12,5,29,16,34,1,1,24.47,22.39,28.18,29.8,0.46,0.06,0.12,0.73,0.11,0.03,0.13,165,5.78,0.4,2.62,0.11,0.12,0.18,0.11,0.29,0.04,0.18,0.11,0.06,3.5,0.41,0.78,14,5,19,0,2,3,13,22,3,2,3,0,7,2
3.5,4,3,0,0,1,4,71,5.5,17.75,3,3,0,2,5,6,0,0,0,11.0,12.17,15.5,14.0,0.24,0.06,0.0,0.32,0.11,0.03,0.54,36,3.02,0.51,1.41,0.24,0.08,0.12,0.18,0.29,0.0,0.0,0.0,0.0,1.5,0.25,0.5,2,0,1,0,1,0,0,0,0,0,0,0,3,0
5.12,8,2,3,4,6,8,224,8.12,28.0,23,12,11,8,9,12,10,0,3,23.71,24.07,30.87,30.57,0.5,0.1,0.15,0.67,0.1,0.04,0.19,115,5.43,0.51,2.56,0.15,0.15,0.13,0.11,0.23,0.03,0.11,0.1,0.14,2.5,0.5,0.55,10,1,8,0,0,2,12,3,1,4,3,0,6,3
4.39,11,2,8,2,11,23,425,6.04,18.48,33,22,11,15,24,17,34,7,3,14.5,15.52,20.84,20.36,0.52,0.12,0.2,0.7,0.12,0.04,0.14,214,7.34,0.5,3.94,0.17,0.18,0.15,0.1,0.26,0.04,0.08,0.06,0.03,4.75,0.18,0.55,24,5,7,0,10,10,25,2,1,5,1,0,7,0
4.93,8,2,2,4,5,15,336,6.33,22.4,35,25,10,10,15,14,19,2,4,18.93,19.92,25.05,24.57,0.45,0.23,0.94,0.68,0.06,0.01,0.24,141,5.44,0.42,3.18,0.18,0.14,0.13,0.09,0.23,0.07,0.04,0.04,0.03,3.5,0.53,0.53,13,3,14,0,3,5,14,7,1,8,6,0,6,3
7.22,14,3,7,3,8,9,301,4.22,33.44,36,25,11,6,18,14,30,4,1,33.75,28.2,34.84,42.12,0.53,0.17,0.25,0.7,0.08,0.06,0.16,121,4.93,0.4,2.0,0.1,0.1,0.13,0.09,0.22,0.15,0.04,0.08,0.03,4.5,0.56,0.69,6,1,21,0,9,0,18,7,1,2,14,0,6,0
4.36,6,2,2,4,2,11,246,4.18,22.36,16,11,5,5,14,12,8,1,2,19.1,19.45,23.42,23.0,0.29,0.07,0.0,0.59,0.06,0.02,0.33,101,4.55,0.41,2.12,0.17,0.09,0.12,0.1,0.22,0.04,0.14,0.04,0.02,3.5,0.5,0.5,4,3,10,0,1,1,5,3,1,0,4,0,6,2
2.67,5,1,1,0,0,15,185,4.33,12.33,17,17,0,5,8,13,5,1,0,11.29,11.73,13.64,12.71,0.31,0.1,0.2,0.56,0.05,0.04,0.35,73,3.8,0.39,2.04,0.17,0.05,0.16,0.09,0.24,0.03,0.24,0.0,0.0,2.5,0.58,0.83,2,0,5,0,3,9,5,2,0,0,0,0,6,0
5.22,7,4,3,1,3,9,216,7.44,24.0,17,14,3,6,18,11,17,3,0,18.12,21.23,27.36,23.38,0.41,0.12,0.0,0.64,0.07,0.09,0.19,98,4.72,0.45,1.64,0.1,0.09,0.19,0.1,0.29,0.09,0.04,0.04,0.07,3.25,0.6,0.6,1,0,6,0,5,8,5,7,1,0,5,0,7,1
4.18,7,1,4,4,9,17,351,7.76,20.65,38,23,15,14,12,14,12,1,2,21.62,20.44,24.79,25.94,0.42,0.11,0.11,0.73,0.05,0.02,0.2,128,4.83,0.36,3.2,0.2,0.11,0.11,0.08,0.19,0.06,0.06,0.04,0.03,2.0,0.44,0.54,18,5,13,0,1,3,12,6,0,3,4,0,6,0
4.83,8,2,3,3,13,18,346,4.67,19.22,35,21,14,16,12,16,19,0,1,15.0,15.47,20.88,20.12,0.51,0.11,0.43,0.75,0.08,0.03,0.14,136,5.17,0.39,2.88,0.15,0.13,0.1,0.08,0.18,0.07,0.03,0.05,0.01,5.0,0.41,0.48,17,11,7,0,2,6,17,8,3,7,0,0,7,0
5.12,8,3,6,4,11,16,401,6.5,25.06,40,24,16,10,21,16,26,2,1,19.27,19.31,26.39,25.27,0.44,0.19,0.85,0.69,0.08,0.02,0.2,139,4.91,0.35,2.67,0.14,0.1,0.13,0.1,0.23,0.05,0.09,0.09,0.03,3.25,0.61,0.41,11,6,9,0,5,5,14,7,0,2,6,0,6,5
4.12,6,3,2,1,1,8,202,11.0,25.25,14,13,1,6,12,11,8,0,0,21.86,21.38,25.3,26.57,0.32,0.06,0.24,0.51,0.08,0.06,0.34,85,4.23,0.42,1.89,0.12,0.09,0.14,0.19,0.33,0.04,0.04,0.0,0.0,1.5,0.44,1.22,4,0,7,0,0,0,3,2,0,0,2,0,6,0
3.93,8,2,2,0,4,14,245,5.5,17.5,17,14,3,4,12,11,9,2,0,17.15,16.74,19.91,20.38,0.31,0.14,0.69,0.54,0.06,0.04,0.36,103,4.65,0.42,2.92,0.22,0.1,0.13,0.09,0.22,0.0,0.09,0.0,0.09,4.25,0.35,0.65,5,2,10,0,4,3,10,4,0,3,6,0,6,0
5.8,9,3,6,3,7,10,273,5.4,27.3,29,19,10,6,10,14,12,3,1,20.0,19.77,28.2,27.33,0.45,0.15,0.59,0.71,0.09,0.04,0.16,123,5.26,0.45,3.06,0.21,0.14,0.1,0.08,0.18,0.05,0.06,0.13,0.04,4.25,0.25,0.75,10,8,5,0,15,9,11,8,2,3,1,0,6,6
