av_depth,max_depth,min_depth,num_acl,num_rel_cl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_poss,num_prep,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,pos_sim_all,lemma_sim_all,lemma_sim_nei,density,ls,vs,corrected_vs,squared_vs,lfp_1000,lfp_2000,lfp_uwl,lfp_rest,ndw,ttr,corrected_ttr,root_ttr,log_ttr,uber_ttr,d,lv,vvi,squared_vv,corrected_vv,vvii,nv,adjv,advv,modv,der_level3,der_level4,der_level5,der_level6,mci,freq_finite_forms,freq_aux,num_inf,num_gerunds,num_pres_sing,num_pres_plur,num_past_part,num_past_simple,num_linkings,num_4grams,num_func_ngrams,num_shell_noun,num_misspelled_tokens,punct_mistakes_pp,punct_mistakes_because,punct_mistakes_but,punct_mistakes_compare,million_mistake,side_mistake,name,text,class,type,sum_punct
5.33,7,3,5,0,3,6,141,4.83,23.5,11,8,3,4,7,10,7,4,0,18.8,19.54,24.77,24.6,0.44,0.11,0.09,0.21,0.09,0.61,0.16,0.04,0.19,75,0.53,4.47,6.32,0.87,208.9,0.79,0.53,0.82,7.36,1.92,0.15,0.16,0.13,0.1,0.23,0.07,0.03,0.07,0.0,3.5,0.27,0.73,1,0,5,0,7,0,7,1,0,0,2,0,0,0,0,0,0,./data/exam/exam2017_7/OBy_180_1,"These two pie charts show us how many different goods and products is shipped by train and trucks in percentage. 

In the first graph we see that one third of all goods delivered by rail are metals and 11% are the food products, while in road transportation is the opposite: 30%  for food goods and 11% for metals. The part of transported manufactured goods by both means of transport is almost the same – 25-28 %. Another incomparison that the charts demonstrate is that the number of machinery moved by rail is significantly bigger than by road – 12% against 2. 

Overall, the pie charts make clear that that huge and bulky good commonly transported by rail, while the roads are used usually to ship smaller products. 
",60,1,0
3.89,7,2,0,0,1,9,162,6.22,18.0,12,11,1,2,15,10,12,0,0,18.25,19.18,23.09,22.5,0.42,0.09,0.0,0.0,0.0,0.66,0.1,0.02,0.21,81,0.5,4.5,6.36,0.86,232.98,0.79,0.5,0.78,5.44,1.65,0.1,0.15,0.19,0.1,0.29,0.03,0.09,0.06,0.03,2.75,0.67,0.67,2,0,2,0,1,3,7,11,5,1,2,0,0,0,0,0,0,./data/exam/exam2014/EPa_40_1,"Pie chart illustrate ages of Yemen and Italy nations in 2000 and expected age in 2050. It is clearly, that percentage of middle age people in Yemen significantly increase. At the same time number of adult Italian dramatically decrease through the period from 2000 to 2050. 
In the bigining of the second millenium half of Yemen`s population was children. In 2050 expected percentage of children fall to 37%. In Italy situation completely different. Number of children doesn`t change through fifty years period and consider quite more than 10%
Percentage of the oldest part of Yemen population rise from 3,6% in 2000 to approximately 6% in 2050 and we can see that it is a very small changes. On the other hand number of Italian retires people increase in two times. 
As result we can see that Yemen and Italy have completely different set of ages population.
",55,1,0
4.0,6,2,5,0,7,20,297,4.25,14.85,37,29,8,9,11,8,25,0,6,11.68,12.24,16.27,15.42,0.49,0.06,0.0,0.0,0.0,0.79,0.1,0.01,0.09,115,0.39,4.72,6.67,0.83,147.24,0.78,0.39,0.69,18.69,3.06,0.18,0.1,0.12,0.05,0.18,0.06,0.06,0.03,0.04,1.75,0.41,0.59,23,1,14,0,1,5,7,14,5,4,0,0,0,0,0,0,0,./data/exam/exam2014/DAr_39_2,"Public health is a burning problem nowadays: government makes different policies but the level of public health is still low. There are different opinions and all of them should be take into account. The most common opinion is that the best way to improve public health is by increasing of sports facilities. It is obvious that sport helps us to become healthier. We have a lot of opportunities in our everyday life. The sphere of fitness is very popular nowadays but it is very expensive. Not all people can efford it. If government provides more cheap facilities, more people will use it and it will lead to improve in public health. I agree with this opinion, I tend to believe that it is the best way to solve this problem. Another people argue that this would have little effect on public health. They choose other  ways to improve of them. One of these ways is reduce prodaction of unhealthy or junk food. All of us know this food influence on our health and destroy it. If people avoid to it unhealthy food and eat more fruits and vegetables, it will increase the level of public health. Another way to improve public health is to make some informative advertisements, useful films and books. Some people have no idea how to improve their health and these resources can help them to do it. In conclusion I should say that it is very difficult to choose the best way to improve public health. All these ways should be used together. The government should controll the level of public health and provide people more opportunities and facilities.
",55,2,0
4.1,6,3,1,1,1,10,183,8.0,18.3,15,12,3,6,22,12,8,2,0,14.67,14.13,18.79,20.0,0.34,0.21,0.15,0.39,0.31,0.57,0.09,0.06,0.28,71,0.39,3.71,5.25,0.82,223.98,0.71,0.39,0.85,9.31,2.16,0.18,0.11,0.1,0.08,0.18,0.03,0.0,0.0,0.0,3.75,0.62,0.62,2,2,13,0,2,0,7,3,1,0,1,1,0,0,0,0,0,./data/exam/exam2017_5_2/EGe_248_1,"﻿The given graps demonstrate the levels of average temperatures in Yakutsk and Rio de Janeiro.
Turnig to the details of the graphs. As can be seen in the diagrams that when in Yakutsk is the hotest temperature, in Rio de Janeiro is the coldest temperature. This period becomes in summer between July and August. On the other hand when in Rio de Janerio is hotest period, in Yakutsk is the coldest. This time becomes at the begining and at the end of winter.
Acoording to the graphs the average temperatures in Rio de Janeiro remains constantly between 20 and 30 degrees, while in Yakutsk the average maximum and minimum changes three times. Temperature increases rapidly at the period from January to July and then it drops sharply at the time from AUgust to December.
To sum up these graphs the hotest temperature in Rio de Janeiro is in winter and makes up about 30 degrees. In Yakutsk the hotest temperature is in summer and makes up also about 30 degrees.",55,1,1
5.8,8,4,6,0,2,5,112,3.0,22.4,7,5,2,4,12,8,4,5,0,15.25,14.83,21.81,22.0,0.47,0.13,0.09,0.21,0.09,0.61,0.14,0.04,0.21,67,0.6,4.48,6.33,0.89,304.88,0.8,0.6,0.82,7.36,1.92,0.17,0.17,0.11,0.11,0.23,0.03,0.07,0.03,0.07,2.0,0.36,0.27,1,0,4,0,6,2,5,0,0,0,0,0,0,0,0,0,0,./data/exam/exam2017/OBy_15_1,"The chart shows a comparison of two kinds of towards transportation between parts of Eastern Europe in 2008. 

If is clear that the cool followed by manufactured goods made up the largest part whereless transported by rail and road, and remained least popular. 

In evident from charts that the transportation of manufactured goods went up by just above 3% from rail to road. Likewise, rail witnessed highest percentage of metals, in road transported chart this position belong food products. The smaller tendency by rail is the same by chemicals and food products, on the road is for non-metallic minerals.
",50,1,0
3.44,4,2,2,0,0,9,181,5.22,20.11,11,11,0,4,9,11,6,1,1,19.62,17.6,20.38,23.12,0.31,0.2,0.18,0.43,0.36,0.59,0.04,0.03,0.35,76,0.42,3.99,5.65,0.83,151.72,0.74,0.42,0.82,7.36,1.92,0.16,0.09,0.11,0.11,0.21,0.0,0.09,0.03,0.09,3.5,0.36,0.82,2,4,5,0,3,3,3,6,0,1,4,0,0,1,1,0,0,./data/exam/exam2017_7/VSa_48_1,"The bar chart gives us information about development of print books and electronic books in USA, Germany, China and UK between 2014 and 2018. As the diagram suggest, there are very different situations in these four countries.
First of all, it can be seen that in USA producing of print books in 2014 rather were hire, than in 2018 (in 2014 it was 10,5 billion us dollars, but in 2018 it will be only 7,5 billion US dollars). In the contrast, in Germany producing of this books remains stable (6 billion US dollars in 2014 and 6 billion in 2018). Secondly, the bar chart illustrates how changed development of the book market in China and in the UK. It is clear that in China was not a lot of changes: producing of print books in 2014 was 4,8 billion US dollars and in 2018 - 4,2 billion US dollars. Producing of electronic books slowly rised. Similar situation is in UK.
",55,1,2
6.62,11,4,6,1,2,8,175,5.0,21.88,13,11,2,8,14,13,7,6,0,17.0,16.59,21.7,22.29,0.46,0.12,0.06,0.17,0.06,0.58,0.1,0.07,0.26,85,0.49,4.54,6.43,0.86,219.43,0.78,0.49,0.71,8.47,2.06,0.15,0.13,0.09,0.1,0.19,0.0,0.07,0.02,0.02,4.0,0.24,0.65,3,0,1,0,12,1,10,4,0,0,1,0,0,0,0,0,0,./data/exam/exam2017/NChe_3_1,"The presented charts depict the proportion of the goods transported by rail and road between countries in Eastern Europe in 2008.
As can be seen from the charts, there are differenses between two methods of transportation. Metals account for approximately one third of goods transported by rail whereas only 11% of goods transported by road are metals. Manufactured goods are delivered by rail and road in a huge amount and make up 25% and 28%, respectively. The enormous difference can bee seen in food products that constitute 30% of goods transported by road while rail transportations of food are three times less. Machinery is prefered transporting by rail rathan than by road and amounts 12% and 2%, respectively. The proportions of chemicals and non-metallic minerals are higher through transport there by road.
To conclude, it should be added that the main differences between ways of transportation are seen at metals, machinery and food products.
",70,1,0
3.7,6,3,0,2,0,10,172,3.6,17.2,14,12,2,3,13,12,10,0,0,16.44,15.88,19.9,20.33,0.38,0.15,0.0,0.0,0.0,0.53,0.07,0.06,0.34,97,0.56,5.23,7.4,0.89,416.38,0.81,0.56,0.91,9.09,2.13,0.15,0.09,0.18,0.21,0.39,0.07,0.07,0.2,0.0,4.5,0.73,0.55,1,1,7,0,1,2,6,0,0,1,1,0,0,2,0,0,0,./data/exam/exam2017_6/OBy_130_1,"The graphs illustrate the comparisons of the temperature in two countries with radically different climate. On these graphs are fixed maximal and minimal temperature during the year. 

Generally speaking, indicators of maximum and minimum situate closely to each other, it means that over the period of one month temperature remain almost steady. As for weather in Yakutsk, it always changes. The hotest time in the year is July, but the coldest period is December and January. Datas of Rio de Janeiro look differently. Temperature in Brazil remain stable with some fluctuations, within whole year. More detailed view reveals that pick of temperature in Russia is about 25*C, whereas in Rio the highest point is near to 30*C. However, difference between minimal indicators in this countries much more. In Yakutsk temperature decrease to approximately – 40*C, but in Rio de Janeiro it is never less than 17*C. 
",60,1,2
3.42,8,2,6,2,7,24,300,3.29,12.5,33,27,6,2,13,14,21,1,5,10.39,11.7,15.22,13.39,0.51,0.08,0.07,0.33,0.21,0.73,0.14,0.02,0.1,138,0.46,5.63,7.97,0.86,171.39,0.84,0.46,0.62,16.1,2.84,0.17,0.14,0.15,0.08,0.23,0.03,0.07,0.07,0.03,1.75,0.36,0.48,21,6,8,0,1,0,15,9,3,2,1,1,0,0,0,0,0,./data/exam/exam2016/JSl_178_2,"There are several points of view on reducing crime. Some tend to belive that the best way is longer prison sentence. While others argue that there are better ways. Both view have their pros and cons. Increasing prison sentence can prevent some people from doing crime as they will know about risk of spending most of their lifes in prison. But there is another side of  this solution. First of all, prosins will take more money. From country budget as prison has to spent more on every prisoner. Second and may be even more important. Criminals will go for a higher crimes to avoid prison. For example, theift can kill a man to avoid being caughted. Last problem is connects with the first one. Government will ned to built more prisons to keep all criminals. It also have money from budget. But do we have after native ways? Yes, there are some other possible silutions to prevent crime. First one is reducing number of unemployment people. A lot of people go for crime just because they do not have something do it. Giving them job can prevent them from going for crime. Second approach is to start with children. Most of the crimals start doing illegal brings from the childhood. It is very important for parents of trachers, child phycologists to make sure that one do not got for a wrong rond. Of course, there are many other small steps that can help. In my opinion, longer prison sentences certainly is not the right solution, so we have to concentrate on alternative approaches and combine them for better results.  
",50,2,1
5.2,9,3,1,1,3,5,98,8.6,19.6,13,9,4,2,2,3,6,0,2,20.0,18.33,22.1,24.5,0.45,0.09,0.0,0.0,0.0,0.74,0.05,0.01,0.19,56,0.57,4.0,5.66,0.88,310.5,0.76,0.57,0.64,5.79,1.7,0.2,0.15,0.11,0.09,0.2,0.0,0.09,0.0,0.18,1.0,0.5,0.43,6,0,3,0,1,2,5,4,1,0,3,0,0,2,0,0,0,./data/exam/exam2017/OBy_145_2,"Eat for live, but not live for eat. I also believe that every man and woman have to produce the food that they can eat and other place they should sold. It is very good for economic, becouce they have food and they have money, not to much, but it is inuf so country don’t have devuaqlvation and economic is rise. On the other hand, if country have 50% of world’s produse apple. It saise that they should have aim to import all unusefull apples.
",30,2,2
